DATE	DAY	MONTH	QUARTER	YEAR	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	NO. OF  TRADES
23 June 2025	Monday	June	Q2	2025	1453.00	1463.80	1442.00	1466.20	1456.00	1456.80	1453.48	3217.60	1114.85	5989078	226309
20 June 2025	Friday	June	Q2	2025	1431.00	1471.00	1428.10	1433.30	1464.10	1466.20	1462.68	3217.60	1114.85	29010635	276278
19 June 2025	Thursday	June	Q2	2025	1430.10	1439.90	1425.70	1430.10	1428.00	1433.30	1433.80	3217.60	1114.85	10007230	179473
18 June 2025	Wednesday	June	Q2	2025	1430.00	1442.80	1425.70	1431.20	1429.70	1430.10	1431.31	3217.60	1114.85	6681735	138211
17 June 2025	Tuesday	June	Q2	2025	1448.00	1448.00	1425.80	1437.80	1430.00	1431.20	1432.15	3217.60	1114.85	10366599	191173
16 June 2025	Monday	June	Q2	2025	1426.90	1442.40	1424.40	1427.90	1436.90	1437.80	1436.42	3217.60	1114.85	8458093	213623
13 June 2025	Friday	June	Q2	2025	1424.00	1435.50	1414.30	1441.60	1427.50	1427.90	1423.95	3217.60	1114.85	9757276	202256
12 June 2025	Thursday	June	Q2	2025	1453.50	1457.00	1434.40	1448.90	1439.50	1441.60	1444.32	3217.60	1114.85	8828114	190194
11 June 2025	Wednesday	June	Q2	2025	1445.80	1468.60	1443.10	1438.50	1448.00	1448.90	1456.11	3217.60	1114.85	8195700	184593
10 June 2025	Tuesday	June	Q2	2025	1450.00	1453.90	1436.00	1448.80	1437.30	1438.50	1442.59	3217.60	1114.85	7913181	167203
09 June 2025	Monday	June	Q2	2025	1457.00	1457.50	1445.30	1443.50	1447.20	1448.80	1449.95	3217.60	1114.85	7885125	159916
06 June 2025	Friday	June	Q2	2025	1441.00	1451.50	1437.00	1442.40	1443.00	1443.50	1444.22	3217.60	1114.85	8182161	179734
05 June 2025	Thursday	June	Q2	2025	1428.00	1454.70	1423.60	1423.50	1442.70	1442.40	1442.72	3217.60	1114.85	13716817	304069
04 June 2025	Wednesday	June	Q2	2025	1414.70	1425.70	1406.10	1405.50	1421.00	1423.50	1415.78	3217.60	1114.85	8126827	152064
03 June 2025	Tuesday	June	Q2	2025	1422.30	1426.50	1403.40	1413.70	1405.40	1405.50	1412.34	3217.60	1114.85	11252626	230110
02 June 2025	Monday	June	Q2	2025	1412.10	1417.50	1395.60	1420.90	1412.60	1413.70	1407.75	3217.60	1114.85	8098668	189977
30 May 2025	Friday	May	Q2	2025	1418.00	1430.60	1409.70	1417.80	1417.90	1420.90	1419.89	3217.60	1114.85	13788484	155127
29 May 2025	Thursday	May	Q2	2025	1412.10	1420.00	1408.60	1412.90	1419.50	1417.80	1414.72	3217.60	1114.85	13771917	265116
28 May 2025	Wednesday	May	Q2	2025	1420.10	1422.60	1410.70	1422.10	1412.80	1412.90	1414.99	3217.60	1114.85	5944611	169185
27 May 2025	Tuesday	May	Q2	2025	1426.10	1437.00	1413.90	1434.80	1424.20	1422.10	1421.81	3217.60	1114.85	12640414	211047
26 May 2025	Monday	May	Q2	2025	1432.00	1441.00	1425.10	1426.80	1435.90	1434.80	1437.16	3217.60	1114.85	4842944	171837
23 May 2025	Friday	May	Q2	2025	1406.60	1433.80	1406.60	1409.40	1426.00	1426.80	1424.63	3217.60	1114.85	6474883	135371
22 May 2025	Thursday	May	Q2	2025	1421.20	1423.80	1396.90	1429.20	1411.50	1409.40	1406.85	3217.60	1114.85	12134466	228031
21 May 2025	Wednesday	May	Q2	2025	1423.90	1436.20	1418.10	1424.60	1428.20	1429.20	1427.75	3217.60	1114.85	6136364	232529
20 May 2025	Tuesday	May	Q2	2025	1438.20	1445.00	1421.80	1440.80	1424.50	1424.60	1429.91	3217.60	1114.85	11270560	182531
19 May 2025	Monday	May	Q2	2025	1452.10	1454.60	1438.20	1456.40	1442.90	1440.80	1443.67	3217.60	1114.85	6195791	144606
16 May 2025	Friday	May	Q2	2025	1453.20	1461.00	1447.30	1454.20	1454.80	1456.40	1455.16	3217.60	1114.85	9036695	196322
15 May 2025	Thursday	May	Q2	2025	1425.00	1461.40	1412.70	1424.40	1453.00	1454.20	1441.41	3217.60	1114.85	20177211	314261
14 May 2025	Wednesday	May	Q2	2025	1420.00	1429.90	1415.50	1415.70	1425.20	1424.40	1423.31	3217.60	1114.85	5570160	145014
13 May 2025	Tuesday	May	Q2	2025	1433.50	1447.70	1412.40	1436.50	1416.50	1415.70	1423.23	3217.60	1114.85	11407896	281992
12 May 2025	Monday	May	Q2	2025	1400.00	1439.00	1400.00	1377.20	1436.90	1436.50	1426.35	3217.60	1114.85	10674081	310602
09 May 2025	Friday	May	Q2	2025	1385.50	1394.80	1374.50	1407.00	1379.50	1377.20	1382.39	3217.60	1114.85	13668904	388013
08 May 2025	Thursday	May	Q2	2025	1404.10	1420.80	1398.00	1406.00	1398.00	1407.00	1410.51	3217.60	1114.85	16106175	231342
07 May 2025	Wednesday	May	Q2	2025	1420.90	1424.40	1402.70	1420.90	1405.90	1406.00	1412.79	3217.60	1114.85	13440169	222903
06 May 2025	Tuesday	May	Q2	2025	1431.00	1432.00	1410.60	1431.30	1418.00	1420.90	1419.01	3217.60	1114.85	14084117	226761
05 May 2025	Monday	May	Q2	2025	1431.00	1439.50	1426.90	1422.40	1430.00	1431.30	1432.00	3217.60	1114.85	12685649	204503
02 May 2025	Friday	May	Q2	2025	1414.00	1426.70	1409.10	1405.00	1422.50	1422.40	1419.65	3217.60	1114.85	17535402	378385
30 April 2025	Wednesday	April	Q2	2025	1402.00	1412.40	1369.00	1399.70	1395.00	1405.00	1404.87	3217.60	1114.85	25480745	598769
